"REF_DATE","GEO","DGUID","Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Nova Scotia","2016A000212","Diesel","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014946","4.3.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Diesel","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014953","4.3.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Diesel","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014960","4.3.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Diesel","Vans","Number of vehicles","Units","300","units ","0","v1079014967","4.3.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014940","4.4.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Battery electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014947","4.4.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Battery electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014954","4.4.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Battery electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014961","4.4.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Battery electric","Vans","Number of vehicles","Units","300","units ","0","v1079014968","4.4.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014941","4.5.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014948","4.5.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014955","4.5.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014962","4.5.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014969","4.5.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Plug-in hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014942","4.6.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Plug-in hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014949","4.6.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Plug-in hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014956","4.6.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Plug-in hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014963","4.6.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Plug-in hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014970","4.6.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Other fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014943","4.7.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Other fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014950","4.7.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Other fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014957","4.7.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Other fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014964","4.7.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Other fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014971","4.7.5.1","","..","","","0"
"2011","New Brunswick","2016A000213","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014972","5.1.1.1","40110","","","","0"
"2011","New Brunswick","2016A000213","All fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014979","5.1.2.1","16497","","","","0"
"2011","New Brunswick","2016A000213","All fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014986","5.1.3.1","9436","","","","0"
"2011","New Brunswick","2016A000213","All fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014993","5.1.4.1","11809","","","","0"
"2011","New Brunswick","2016A000213","All fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079015000","5.1.5.1","2368","","","","0"
"2011","New Brunswick","2016A000213","Gasoline","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014973","5.2.1.1","39264","","","","0"
"2011","New Brunswick","2016A000213","Gasoline","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014980","5.2.2.1","16160","","","","0"
"2011","New Brunswick","2016A000213","Gasoline","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014987","5.2.3.1","9038","","","","0"
"2011","New Brunswick","2016A000213","Gasoline","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014994","5.2.4.1","11733","","","","0"
"2011","New Brunswick","2016A000213","Gasoline","Vans","Number of vehicles","Units","300","units ","0","v1079015001","5.2.5.1","2333","","","","0"
"2011","New Brunswick","2016A000213","Diesel","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014974","5.3.1.1","705","","","","0"
"2011","New Brunswick","2016A000213","Diesel","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014981","5.3.2.1","228","","","","0"
"2011","New Brunswick","2016A000213","Diesel","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014988","5.3.3.1","398","","","","0"
"2011","New Brunswick","2016A000213","Diesel","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014995","5.3.4.1","44","","","","0"
"2011","New Brunswick","2016A000213","Diesel","Vans","Number of vehicles","Units","300","units ","0","v1079015002","5.3.5.1","35","","","","0"
"2011","New Brunswick","2016A000213","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014975","5.4.1.1","0","","","","0"
