year_num,tm,attend_g,est_payroll,w,l
2010,TEX,30928,56474374,90,72
2010,TOR,19173,62734000,85,77
2010,WSN,22569,67701000,69,93
2011,ARI,25993,54823166,94,68
2011,ATL,29296,93855132,89,73
2011,BAL,21672,88299038,69,93
2011,BOS,37704,166662475,90,72
2011,CHC,37259,136547329,71,91
2011,CHW,24705,127789000,79,83
2011,CIN,27328,77297134,79,83
2011,CLE,22726,49426566,80,82
2011,COL,35923,91648071,73,89
2011,DET,32618,106875231,95,67
2011,FLA,18772,57694000,72,90
2011,HOU,25519,71110500,56,106
2011,KCR,21290,35712000,71,91
2011,LAA,39090,138543166,86,76
2011,LAD,36236,103785477,82,79
2011,MIL,37918,86636333,96,66
2011,MIN,39113,112737000,63,99
2011,NYM,29044,151897309,77,85
2011,NYY,45107,206275028,97,65
2011,OAK,18232,67094000,74,88
2011,PHI,45441,172976379,102,60
2011,PIT,23956,45047000,72,90
2011,SDP,26457,45869140,71,91
2011,SEA,23411,86110600,67,95
2011,SFG,41819,124198333,86,76
2011,STL,38197,105433572,90,72
2011,TBR,18879,41053571,91,71
2011,TEX,36382,93799264,96,66
2011,TOR,22446,64567800,81,81
2011,WSN,24256,68492928,80,81
2012,ARI,26884,67069833,81,81
2012,ATL,29879,86208000,94,68
2012,BAL,25954,77949000,93,69
2012,BOS,37568,110386000,69,93
2012,CHC,35590,86159366,61,101
2012,CHW,24271,118208000,85,77
2012,CIN,28978,80309500,97,65
2012,CLE,19797,78911300,68,94
2012,COL,32475,75485000,64,98
2012,DET,37383,131394000,88,74
2012,HOU,19849,37651000,55,107
2012,KCR,21480,61747075,72,90
2012,LAA,37800,141073500,89,73
2012,LAD,41040,177033600,86,76
2012,MIA,27401,107678000,69,93
2012,MIL,34955,95717000,83,79
2012,MIN,34276,99066000,66,96
2012,NYM,27689,91621424,74,88
2012,NYY,43733,197977900,95,67
2012,OAK,20729,61202500,94,68
2012,PHI,44021,171501558,81,81
2012,PIT,25826,70077000,79,83
2012,SDP,26219,55494700,76,86
2012,SEA,21258,78235600,75,87
2012,SFG,41696,117637350,94,68
2012,STL,40273,112071000,88,74
2012,TBR,19255,63368700,90,72
2012,TEX,42720,124119900,93,69
2012,TOR,25922,82352700,73,89
2012,WSN,29269,92386000,98,64
2013,ARI,26357,80060500,81,81
2013,ATL,31465,95618750,96,66
2013,BAL,29106,100832000,85,77
2013,BOS,34979,175395500,97,65
2013,CHC,32626,67874166,66,96
2013,CHW,21832,81401900,63,99
2013,CIN,31151,106255535,90,72
2013,CLE,19419,87342433,92,70
2013,COL,34492,73768000,74,88
2013,DET,38067,154407000,93,69
2013,HOU,20394,14672300,51,111
2013,KCR,21614,87426250,86,76
2013,LAA,37278,116532500,78,84
2013,LAD,46216,254161000,92,70
2013,MIA,19584,24761900,62,100
2013,MIL,31248,86945000,74,88
2013,MIN,30588,63042500,66,96
2013,NYM,26366,69425860,74,88
2013,NYY,40489,246534750,85,77
2013,OAK,22337,69440000,96,66
2013,PHI,37190,150860000,73,89
2013,PIT,27862,99230000,94,68
2013,SDP,26749,65988600,76,86
2013,SEA,21747,78887000,71,91
2013,SFG,41087,139845667,76,86
2013,STL,41602,112583000,97,65
2013,TBR,18646,71163500,92,71
2013,TEX,38759,139261200,91,72
2013,TOR,31316,124517800,74,88
2013,WSN,32746,112493250,86,76
2014,ARI,25602,89926500,64,98
2014,ATL,29065,108081500,79,83
2014,BAL,30426,109097500,96,66
2014,BOS,36495,134628929,71,91
2014,CHC,32742,59800500,73,89
2014,CHW,20381,87475500,73,89
2014,CIN,30576,102230000,76,86
2014,CLE,17746,73509399,85,77
2014,COL,33090,95403500,66,96
2014,DET,36015,169135500,90,72
2014,HOU,21628,44736800,70,92
2014,KCR,24154,89804075,89,73
2014,LAA,38221,128667000,98,64
2014,LAD,46696,233386026,94,68
2014,MIA,21386,42365400,77,85
2014,MIL,34536,109567000,82,80
2014,MIN,27785,87044000,70,92
2014,NYM,26528,82663615,79,83
2014,NYY,41995,258118959,84,78
2014,OAK,24736,89160900,88,74
2014,PHI,29924,176444967,73,89
2014,PIT,30155,80729000,88,74
2014,SDP,27103,76662100,77,85
2014,SEA,25486,95471000,87,75
2014,SFG,41589,163510167,88,74
2014,STL,43712,129932500,90,72
2014,TBR,17858,77814300,77,85
2014,TEX,33565,129801239,67,95
2014,TOR,29327,136466200,83,79
2014,WSN,31844,137235080,96,66
2015,ARI,25681,64434000,79,83
2015,ATL,24709,104037500,67,95
2015,BAL,29246,112989833,81,81
2015,BOS,35564,183931900,78,84
2015,CHC,36039,115306610,97,65
2015,CHW,21677,112889700,76,86
2015,CIN,29870,111572286,64,98
2015,CLE,17361,59163766,81,80
2015,COL,30948,96438600,68,94
2015,DET,33655,172284750,74,87
