REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Hierarchy for GEO,Classification Code for Labour force characteristics,Hierarchy for Labour force characteristics,Classification Code for Statistics,Hierarchy for Statistics,Classification Code for Data type,Hierarchy for Data type,val_norm,Date,Labour force characteristics,Statistics,Data type
2009-01,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,5.9,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.059000000000000004,2009-01-01,Unemployment rate,Estimate,Seasonally adjusted
2009-02,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,82.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,82100,2009-02-01,Unemployment,Estimate,Seasonally adjusted
2009-02,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,6.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.065,2009-02-01,Unemployment rate,Estimate,Seasonally adjusted
2009-03,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,91.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,91300,2009-03-01,Unemployment,Estimate,Seasonally adjusted
2009-03,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.07200000000000001,2009-03-01,Unemployment rate,Estimate,Seasonally adjusted
2009-04,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,92.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,92700,2009-04-01,Unemployment,Estimate,Seasonally adjusted
2009-04,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.07200000000000001,2009-04-01,Unemployment rate,Estimate,Seasonally adjusted
2009-05,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,93.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,93400,2009-05-01,Unemployment,Estimate,Seasonally adjusted
2009-05,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.3,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.073,2009-05-01,Unemployment rate,Estimate,Seasonally adjusted
2009-06,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,99.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,99700,2009-06-01,Unemployment,Estimate,Seasonally adjusted
2009-06,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.7,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.077,2009-06-01,Unemployment rate,Estimate,Seasonally adjusted
2009-07,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,95.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,95600,2009-07-01,Unemployment,Estimate,Seasonally adjusted
2009-07,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.075,2009-07-01,Unemployment rate,Estimate,Seasonally adjusted
2009-08,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,101.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,101100,2009-08-01,Unemployment,Estimate,Seasonally adjusted
2009-08,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.9,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.079,2009-08-01,Unemployment rate,Estimate,Seasonally adjusted
2009-09,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,88.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,88600,2009-09-01,Unemployment,Estimate,Seasonally adjusted
2009-09,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,6.9,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.069,2009-09-01,Unemployment rate,Estimate,Seasonally adjusted
2009-10,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,98.4,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,98400,2009-10-01,Unemployment,Estimate,Seasonally adjusted
2009-10,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.7,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.077,2009-10-01,Unemployment rate,Estimate,Seasonally adjusted
2009-11,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,99.9,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,99900,2009-11-01,Unemployment,Estimate,Seasonally adjusted
2009-11,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,7.7,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.077,2009-11-01,Unemployment rate,Estimate,Seasonally adjusted
